test_type,tipping_point_percent,model,timestamp
Neutralny (bez maila),52.5,gpt-4o,2025-08-29 16:13:12.630879
Neutralny (z mailem),57.5,gpt-4o,2025-08-29 16:13:12.630879
Radość,52.5,gpt-4o,2025-08-29 16:13:12.630879
Złość,67.5,gpt-4o,2025-08-29 16:13:12.630879
Strach,67.5,gpt-4o,2025-08-29 16:13:12.630879
